host	host_disease	isolation_source	Manual_identified_host	Manual_source_category	Manual_source	Manual_sample
leporidae sp.			Animal-associated	Livestock	Rabbit	Unknown
oryctolagus cuniculus			Animal-associated	Livestock	Rabbit	Unknown
rabbit			Animal-associated	Livestock	Rabbit	Unknown
reindeer			Animal-associated	Wild	Deer	Unknown
vicugna pacos			Animal-associated	Livestock	Camelid	Unknown
water buffalo			Animal-associated	Livestock	Bovine	Unknown
weaned rex rabbits			Animal-associated	Livestock	Rabbit	Unknown
sus scrofa domesticus		"""feces,feces """	Animal-associated	Livestock	Porcine	Feces
sus scrofa domesticus		"""intestine,intestine """	Animal-associated	Livestock	Porcine	Intestinal
sus scrofa domesticus		"""liver,liver """	Animal-associated	Livestock	Porcine	Meat/Organ
		"""product-raw-ground\, comminuted or otherwise nonintact-pork"""	Animal-associated	Livestock	Porcine	Meat/Organ
		"""product-rte-fully cooked\, sausage products-pork"""	Animal-associated	Livestock	Porcine	Meat/Organ
sus scrofa domesticus		"""spleen,spleen """	Animal-associated	Livestock	Porcine	Meat/Organ
		a anal swab sample of swine origin	Animal-associated	Livestock	Porcine	Feces
		a blood sample of swine origin	Animal-associated	Livestock	Porcine	Blood
		a feces sample of swine origin	Animal-associated	Livestock	Porcine	Feces
		a nose swab sample of swine origin	Animal-associated	Livestock	Porcine	Respiratory Samples
		a slice (about 3 cm thickness) from meat surface of nuodeng ham sampled aseptically	Animal-associated	Livestock	Porcine	Meat/Organ
pig	missing	aansarraysubsource	Animal-associated	Livestock	Porcine	Unknown
		abattoir, chicken	Animal-associated	Livestock	Porcine	Slaughterhouse
sus scrofa domesticus		abces	Animal-associated	Livestock	Porcine	Pus
sus scrofa		abdomen	Animal-associated	Livestock	Porcine	Abdominal
sus scrofa domesticus		abdomen	Animal-associated	Livestock	Porcine	Abdominal
pig		abdominal cavity	Animal-associated	Livestock	Porcine	Abdominal
porcine		abdominal cavity	Animal-associated	Livestock	Porcine	Abdominal
diseased pig		abdominal liquid	Animal-associated	Livestock	Porcine	Abdominal
sus scrofa domesticus		abdominal swab	Animal-associated	Livestock	Porcine	Abdominal
pig		aborted fetus	Animal-associated	Livestock	Porcine	Fetus
pig		aborted fetus tissue	Animal-associated	Livestock	Porcine	Fetus
sus scrofa	abscess	abscess	Animal-associated	Livestock	Porcine	Pus
sus scrofa	infection	abscess	Animal-associated	Livestock	Porcine	Pus
sus scrofa domesticus	caseous lymphadenitis	abscess	Animal-associated	Livestock	Porcine	Pus
sus scrofa domesticus		abscess	Animal-associated	Livestock	Porcine	Pus
pig		air deposition	Animal-associated	Livestock	Porcine	Breeding/Hospital Environment Sample
		air from chicken farm	Animal-associated	Livestock	Poultry	Unknown
sus scrofa domesticus	nervous symptoms and arthritis	alava	Animal-associated	Livestock	Porcine	Unknown
porcine	missing	allantoic	Animal-associated	Livestock	Porcine	Meat/Organ
pig		anal swab	Animal-associated	Livestock	Porcine	Feces
swine		anal swab	Animal-associated	Livestock	Porcine	Feces
pig		anal swabs	Animal-associated	Livestock	Porcine	Unknown
pig	not applicable	animal	Animal-associated	Livestock	Porcine	Unknown
sus		animal	Animal-associated	Livestock	Porcine	Unknown
sus scrofa		animal	Animal-associated	Livestock	Porcine	Unknown
sus scrofa domesticus	carriage	animal	Animal-associated	Livestock	Porcine	Unknown
sus scrofa domesticus		animal	Animal-associated	Livestock	Porcine	Unknown
		animal - porcine-feces	Animal-associated	Livestock	Porcine	Feces
		animal (swine)	Animal-associated	Livestock	Porcine	Unknown
sus scrofa domesticus		animal nasal carriage	Animal-associated	Livestock	Porcine	Respiratory Samples
		animal protein products, pork	Animal-associated	Livestock	Porcine	Meat/Organ
		animal shelter soil	Animal-associated	Livestock	Porcine	Breeding Environment Soil
		animal source foods (pork)	Animal-associated	Livestock	Porcine	Meat/Organ
		animal source foods(pork)	Animal-associated	Livestock	Porcine	Meat/Organ
sus scrofa	missing	animal swine market	Animal-associated	Livestock	Porcine	Breeding/Hospital Environment Sample
sus		animal, carcass	Animal-associated	Livestock	Porcine	Meat/Organ
sus		animal, carcass sponge	Animal-associated	Livestock	Porcine	Slaughterhouse
sus		animal, carcass swab	Animal-associated	Livestock	Porcine	Meat/Organ
		animal, fecal content at slaughterhouse	Animal-associated	Livestock	Porcine	Feces
sus		animal, minced meat	Animal-associated	Livestock	Porcine	Meat/Organ
sus		animal, organs/carcasses	Animal-associated	Livestock	Porcine	Meat/Organ
sus		animal, pig	Animal-associated	Livestock	Porcine	Unknown
sus		animal, pig feces	Animal-associated	Livestock	Porcine	Feces
sus		animal, pig organs	Animal-associated	Livestock	Porcine	Meat/Organ
sus		animal, pork	Animal-associated	Livestock	Porcine	Meat/Organ
sus		animal, swine carcass sponge	Animal-associated	Livestock	Porcine	Slaughterhouse
sus		animal, swine carcass swab	Animal-associated	Livestock	Porcine	Meat/Organ
sus		animal, swine faeces	Animal-associated	Livestock	Porcine	Feces
sus		animal, swine organ	Animal-associated	Livestock	Porcine	Meat/Organ
sus scrofa		animal-cattle-steer	Animal-associated	Livestock	Porcine	Unknown
		animal-swine-feces	Animal-associated	Livestock	Porcine	Feces
sus scrofa		animal-swine-market swine	Animal-associated	Livestock	Porcine	Meat/Organ
		animal-swine-market swine	Animal-associated	Livestock	Porcine	Meat/Organ
sus scrofa		animal-swine-market swine (cecal)	Animal-associated	Livestock	Porcine	Metagenomic/Cecal
		animal-swine-market swine (cecal)	Animal-associated	Livestock	Porcine	Metagenomic/Cecal
		animal-swine-market-swine	Animal-associated	Livestock	Porcine	Meat/Organ
		animal-swine-meat	Animal-associated	Livestock	Porcine	Meat/Organ
		animal-swine-roaster swine	Animal-associated	Livestock	Porcine	Meat/Organ
sus scrofa		animal-swine-sow	Animal-associated	Livestock	Porcine	Unknown
swine		animal-swine-sow	Animal-associated	Livestock	Porcine	Unknown
		animal-swine-sow	Animal-associated	Livestock	Porcine	Unknown
sus scrofa		animal-swine-sow (cecal)	Animal-associated	Livestock	Porcine	Metagenomic/Cecal
		animal-swine-sow (cecal)	Animal-associated	Livestock	Porcine	Metagenomic/Cecal
sus scrofa	healthy	anus	Animal-associated	Livestock	Porcine	Feces
		apoblema of swine	Animal-associated	Livestock	Porcine	Unknown
		aquaculture water from shrimp farming	Animal-associated	Aquatic	Shrimp	Breeding Environment Water
pig		arthrosis	Animal-associated	Livestock	Porcine	Synovial Fluid
sus scrofa domesticus	glasser's disease	articulation	Animal-associated	Livestock	Porcine	Unknown
swine		articulation	Animal-associated	Livestock	Porcine	Unknown
swine		ascites	Animal-associated	Livestock	Porcine	Abdominal
		assorted chicken parts	Animal-associated	Livestock	Poultry	Unknown
sus scrofa		asymptomatic pig	Animal-associated	Livestock	Porcine	Unknown
swine	missing	avian smail intestine swab	Animal-associated	Livestock	Porcine	Intestinal
sus scrofa minusculus		axilla	Animal-associated	Livestock	Porcine	Meat/Organ
sus scrofa domesticus		b2 diversity	Animal-associated	Livestock	Porcine	Unknown
sus scrofa		back skin	Animal-associated	Livestock	Porcine	Skin
environmental		bacon	Animal-associated	Livestock	Porcine	Meat/Organ
	missing	bacon	Animal-associated	Livestock	Porcine	Meat/Organ
		barbeque pork	Animal-associated	Livestock	Porcine	Meat/Organ
		barbeque seasoned fresh cooked ham	Animal-associated	Livestock	Porcine	Meat/Organ
sus scrofa domesticus	nervous symptoms	barcelona	Animal-associated	Livestock	Porcine	Unknown
sus scrofa domesticus	nervous symptoms and arthritis	barcelona	Animal-associated	Livestock	Porcine	Unknown
		bat fecal droppings	Animal-associated	Wild	Bat	Feces
not collected		beef	Animal-associated	Livestock	Bovine	Meat/Organ
not provided	not provided	beef	Animal-associated	Livestock	Bovine	Meat/Organ
pig		beef	Animal-associated	Livestock	Bovine	Meat/Organ
		beef cows	Animal-associated	Livestock	Bovine	Meat/Organ
missing	missing	beef ground beef	Animal-associated	Livestock	Bovine	Meat/Organ
not provided	not provided	beef ground beef	Animal-associated	Livestock	Bovine	Meat/Organ
		beef ground beef	Animal-associated	Livestock	Bovine	Meat/Organ
sus scrofa domesticus		belly lymph node	Animal-associated	Livestock	Porcine	Lymph Node
sus scrofa (wt)		bile duct	Animal-associated	Livestock	Porcine	Bile
sus scrofa domesticus		biological fluid or and tissue	Animal-associated	Livestock	Porcine	Tissues
		biological fluid or and tissue (sus scrofa domesticus)	Animal-associated	Livestock	Porcine	Tissues
sus scrofa	necrotizing ureteritis	bladder	Animal-associated	Livestock	Porcine	Bladder
sus scrofa domesticus		bladder	Animal-associated	Livestock	Porcine	Bladder
sus scrofa domesticus		bladder stones	Animal-associated	Livestock	Porcine	Stones
pig	septicaemia	blood	Animal-associated	Livestock	Porcine	Blood
pig	septicaemia	blood	Animal-associated	Livestock	Porcine	Blood
pig	septicemia	blood	Animal-associated	Livestock	Porcine	Blood
pig		blood	Animal-associated	Livestock	Porcine	Blood
sus scrofa		blood	Animal-associated	Livestock	Porcine	Blood
sus scrofa domesticus	glasser's disease	blood	Animal-associated	Livestock	Porcine	Blood
sus scrofa domesticus		blood	Animal-associated	Livestock	Porcine	Blood
swine		blood	Animal-associated	Livestock	Porcine	Blood
swine		blood from piglet with acute sepsis	Animal-associated	Livestock	Porcine	Blood
sus scrofa		blood of a naturally infected pig	Animal-associated	Livestock	Porcine	Blood
pig		blood of an infected pig	Animal-associated	Livestock	Porcine	Blood
pig		blood of an infected pig with septicemia associated with meningitis	Animal-associated	Livestock	Porcine	Blood
sus scrofa domesticus		blood of irradiated adult pig	Animal-associated	Livestock	Porcine	Blood
sus scrofa		bodily fluid	Animal-associated	Livestock	Porcine	Uncategorized Fluid
swine		bodyfluid	Animal-associated	Livestock	Porcine	Uncategorized Fluid
missing	missing	boiled pork with mustard greens	Animal-associated	Livestock	Porcine	Meat/Organ
missing	missing	boiled pork with mustard greens	Animal-associated	Livestock	Porcine	Meat/Organ
missing		bologna	Animal-associated	Livestock	Porcine	Meat/Organ
		bologna	Animal-associated	Livestock	Porcine	Meat/Organ
	missing	bologna sausage	Animal-associated	Livestock	Porcine	Meat/Organ
sus scrofa	infection	bone	Animal-associated	Livestock	Porcine	Bone
sus scrofa domesticus		bone	Animal-associated	Livestock	Porcine	Bone
		bone in pork	Animal-associated	Livestock	Porcine	Meat/Organ
		bone in pork chop	Animal-associated	Livestock	Porcine	Meat/Organ
		bone -in pork chops	Animal-associated	Livestock	Porcine	Meat/Organ
pig	missing	bone marrow	Animal-associated	Livestock	Porcine	Bone
		bone-in pork chop	Animal-associated	Livestock	Porcine	Meat/Organ
		bone-in pork chops	Animal-associated	Livestock	Porcine	Meat/Organ
missing		boneless pork	Animal-associated	Livestock	Porcine	Meat/Organ
missing		boneless pork	Animal-associated	Livestock	Porcine	Meat/Organ
		boneless pork	Animal-associated	Livestock	Porcine	Meat/Organ
missing	missing	boneless pork butt	Animal-associated	Livestock	Porcine	Meat/Organ
missing	missing	boneless pork butt	Animal-associated	Livestock	Porcine	Meat/Organ
		boneless pork butt	Animal-associated	Livestock	Porcine	Meat/Organ
		boneless pork chop	Animal-associated	Livestock	Porcine	Meat/Organ
		boneless pork chops	Animal-associated	Livestock	Porcine	Meat/Organ
		boneless pork loin chops	Animal-associated	Livestock	Porcine	Meat/Organ
missing	missing	boneless pork picnic	Animal-associated	Livestock	Porcine	Meat/Organ
		boneless pork picnic	Animal-associated	Livestock	Porcine	Meat/Organ
		boneless pork ribs	Animal-associated	Livestock	Porcine	Meat/Organ
sus scrofa		boot swab sample	Animal-associated	Livestock	Porcine	Breeding/Hospital Environment Sample
		bovine caecum	Animal-associated	Livestock	Bovine	Metagenomic/Cecal
		bovine ceacum	Animal-associated	Livestock	Bovine	Metagenomic/Cecal
		bovine manure treated grass (week 5)	Animal-associated	Livestock	Bovine	Feces
		bovine small intestine	Animal-associated	Livestock	Bovine	Intestinal
		bovines meat	Animal-associated	Livestock	Bovine	Meat/Organ
diseased pig		brain	Animal-associated	Livestock	Porcine	Meat/Organ
pig	meningitis	brain	Animal-associated	Livestock	Porcine	Meat/Organ
pig	na	brain	Animal-associated	Livestock	Porcine	Meat/Organ
pig		brain	Animal-associated	Livestock	Porcine	Meat/Organ
porcine	missing	brain	Animal-associated	Livestock	Porcine	Meat/Organ
porcine		brain	Animal-associated	Livestock	Porcine	Meat/Organ
sus scofa domesticus		brain	Animal-associated	Livestock	Porcine	Meat/Organ
sus scrofa	meningoencephalitis	brain	Animal-associated	Livestock	Porcine	Meat/Organ
sus scrofa	missing	brain	Animal-associated	Livestock	Porcine	Meat/Organ
sus scrofa		brain	Animal-associated	Livestock	Porcine	Meat/Organ
sus scrofa domestica		brain	Animal-associated	Livestock	Porcine	Meat/Organ
sus scrofa domesticus	glasser's disease	brain	Animal-associated	Livestock	Porcine	Meat/Organ
sus scrofa domesticus	meningitis	brain	Animal-associated	Livestock	Porcine	Meat/Organ
sus scrofa domesticus	missing	brain	Animal-associated	Livestock	Porcine	Meat/Organ
sus scrofa domesticus	unknown	brain	Animal-associated	Livestock	Porcine	Meat/Organ
sus scrofa domesticus		brain	Animal-associated	Livestock	Porcine	Meat/Organ
swine	meningitis	brain	Animal-associated	Livestock	Porcine	Meat/Organ
swine		brain	Animal-associated	Livestock	Porcine	Meat/Organ
sus scrofa domesticus	incidental finding	brain	Animal-associated	Livestock	Porcine	Meat/Organ
sus scrofa	bronchopneumonia	brain	Animal-associated	Livestock	Porcine	Meat/Organ
sus scrofa	meningitis	brain	Animal-associated	Livestock	Porcine	Meat/Organ
sus scrofa	septicaemia	brain	Animal-associated	Livestock	Porcine	Meat/Organ
sus scrofa domesticus	systemic	brain	Animal-associated	Livestock	Porcine	Meat/Organ
		brain and kidney (ictalurus punctatus x ictalurus furcatus)	Animal-associated	Aquatic	Fish	Meat/Organ
sus scrofa domesticus	missing	brain intestine	Animal-associated	Livestock	Porcine	Intestinal
sus scrofa		brain of a pig with meningitis	Animal-associated	Livestock	Porcine	Meat/Organ
sus scrofa domestica		brain of a pig with meningitis	Animal-associated	Livestock	Porcine	Meat/Organ
sus scrofa	septicaemia	brain stem	Animal-associated	Livestock	Porcine	Meat/Organ
sus scrofa	enterocolitis, severe,?neutrophilic to histiocytic with phlebitis	brain swab	Animal-associated	Livestock	Porcine	Meat/Organ
sus scrofa domesticus	not provided	brain swab	Animal-associated	Livestock	Porcine	Meat/Organ
sus scrofa domesticus	missing	brain swab (sus domesticus)	Animal-associated	Livestock	Porcine	Meat/Organ
swine		brain tissue	Animal-associated	Livestock	Porcine	Meat/Organ
pig	streptococcus suis - systemic disease	brain/blood	Animal-associated	Livestock	Porcine	Meat/Organ
sus scrofa domestica	not applicable	brain/cns	Animal-associated	Livestock	Porcine	Meat/Organ
sus scofa domesticus		brain_swab	Animal-associated	Livestock	Porcine	Meat/Organ
not applicable	missing	braised pork chops	Animal-associated	Livestock	Porcine	Meat/Organ
		bratwurst sausage	Animal-associated	Livestock	Porcine	Meat/Organ
		breaded chicken fillet	Animal-associated	Livestock	Poultry	Meat/Organ
swine	respiratory diseases	breeding sow farm	Animal-associated	Livestock	Porcine	Breeding/Hospital Environment Sample
		broiler caecum	Animal-associated	Livestock	Poultry	Metagenomic/Cecal
		broiler caecum content	Animal-associated	Livestock	Poultry	Metagenomic/Cecal
		broiler ceacal sample	Animal-associated	Livestock	Poultry	Metagenomic/Cecal
		broiler chicken cecum	Animal-associated	Livestock	Poultry	Metagenomic/Cecal
		broiler, egg	Animal-associated	Livestock	Poultry	Eggs
		broiler, feces	Animal-associated	Livestock	Poultry	Feces
		broiler, heart	Animal-associated	Livestock	Poultry	Meat/Organ
		broiler, liver	Animal-associated	Livestock	Poultry	Meat/Organ
		broiler, meat	Animal-associated	Livestock	Poultry	Meat/Organ
		broilers caecal	Animal-associated	Livestock	Poultry	Metagenomic/Cecal
		broilers caecum	Animal-associated	Livestock	Poultry	Metagenomic/Cecal
		broilers meat	Animal-associated	Livestock	Poultry	Meat/Organ
sus scrofa domesticus		bronchoalveolar lavage fluid	Animal-associated	Livestock	Porcine	Respiratory Samples
		bulk pig ear	Animal-associated	Livestock	Porcine	Meat/Organ
		bulk sausage soppertta	Animal-associated	Livestock	Porcine	Meat/Organ
sus scrofa domesticus	nervous symptoms and arthritis	caceres	Animal-associated	Livestock	Porcine	Unknown
sus scrofa domesticus		caeca content	Animal-associated	Livestock	Porcine	Metagenomic/Cecal
pig		caecal	Animal-associated	Livestock	Porcine	Metagenomic/Cecal
sus scrofa domesticus		caecal	Animal-associated	Livestock	Porcine	Metagenomic/Cecal
porcine		caecal content	Animal-associated	Livestock	Porcine	Metagenomic/Cecal
pig		caecal sample	Animal-associated	Livestock	Porcine	Metagenomic/Cecal
sus scofa domesticus		caecal_contents	Animal-associated	Livestock	Porcine	Metagenomic/Cecal
pig		caecum	Animal-associated	Livestock	Porcine	Metagenomic/Cecal
sus scofa domesticus		caecum	Animal-associated	Livestock	Porcine	Metagenomic/Cecal
sus scrofa		caecum	Animal-associated	Livestock	Porcine	Metagenomic/Cecal
sus scrofa domesticus	missing	caecum	Animal-associated	Livestock	Porcine	Metagenomic/Cecal
sus scrofa domesticus		caecum	Animal-associated	Livestock	Porcine	Metagenomic/Cecal
swine	missing	caecum	Animal-associated	Livestock	Porcine	Metagenomic/Cecal
pig		caecum (slaughterhouse)	Animal-associated	Livestock	Porcine	Metagenomic/Cecal
		caecum (sus scrofa domesticus)	Animal-associated	Livestock	Porcine	Metagenomic/Cecal
sus scrofa domesticus		caecum content	Animal-associated	Livestock	Porcine	Metagenomic/Cecal
pig		caecum mucosa from a healthy weaned piglet	Animal-associated	Livestock	Porcine	Metagenomic/Cecal
		calabrese salami	Animal-associated	Livestock	Porcine	Meat/Organ
		calf caecal content	Animal-associated	Livestock	Bovine	Feces
		calves faeces	Animal-associated	Livestock	Bovine	Feces
sus scrofa		campania	Animal-associated	Livestock	Porcine	Unknown
		canine lung	Animal-associated	Companion	Canine	Respiratory Samples
		capocollo salami	Animal-associated	Livestock	Porcine	Meat/Organ
pig		carcass	Animal-associated	Livestock	Porcine	Meat/Organ
porcine		carcass	Animal-associated	Livestock	Porcine	Meat/Organ
sus scrofa domesticus		carcass	Animal-associated	Livestock	Porcine	Meat/Organ
swine	missing	carcass	Animal-associated	Livestock	Porcine	Meat/Organ
pig		carcass after bleeding	Animal-associated	Livestock	Porcine	Meat/Organ
pig		carcass after final washing	Animal-associated	Livestock	Porcine	Meat/Organ
sus scrofa domesticus	not collected	carcass surface	Animal-associated	Livestock	Porcine	Meat/Organ
pig		carcass swab	Animal-associated	Livestock	Porcine	Meat/Organ
porcine	missing	carcass swab	Animal-associated	Livestock	Porcine	Meat/Organ
porcine		carcass swab	Animal-associated	Livestock	Porcine	Meat/Organ
sus scrofa		carcass swab	Animal-associated	Livestock	Porcine	Meat/Organ
		carcasse pig	Animal-associated	Livestock	Porcine	Meat/Organ
pig	sepsis	cardiac blood	Animal-associated	Livestock	Porcine	Blood
sus scrofa domesticus		carrier pig	Animal-associated	Livestock	Porcine	Unknown
sus scrofa		carrier wild boar	Animal-associated	Livestock	Porcine	Unknown
not applicable	not applicable	cattle	Animal-associated	Livestock	Bovine	Unknown
		cattle caecal	Animal-associated	Livestock	Bovine	Metagenomic/Cecal
		cattle caecum	Animal-associated	Livestock	Bovine	Metagenomic/Cecal
		cattle cecum	Animal-associated	Livestock	Bovine	Feces
		cattle fecal matter	Animal-associated	Livestock	Bovine	Feces
porcine	missing	cavity fluid unspecified	Animal-associated	Livestock	Porcine	Uncategorized Fluid
swine		cecal	Animal-associated	Livestock	Porcine	Metagenomic/Cecal
		cecal beef cow	Animal-associated	Livestock	Bovine	Metagenomic/Cecal
		cecal beef cows	Animal-associated	Livestock	Bovine	Metagenomic/Cecal
pig	missing	cecal content	Animal-associated	Livestock	Porcine	Metagenomic/Cecal
pig		cecal content	Animal-associated	Livestock	Porcine	Metagenomic/Cecal
porcine	missing	cecal content	Animal-associated	Livestock	Porcine	Metagenomic/Cecal
porcine		cecal content	Animal-associated	Livestock	Porcine	Metagenomic/Cecal
sus scrofa		cecal content	Animal-associated	Livestock	Porcine	Metagenomic/Cecal
sus scrofa domesticus		cecal contents	Animal-associated	Livestock	Porcine	Metagenomic/Cecal
		cecal dairy cow	Animal-associated	Livestock	Bovine	Metagenomic/Cecal
porcine		cecal market swine	Animal-associated	Livestock	Porcine	Metagenomic/Cecal
		cecal market swine	Animal-associated	Livestock	Porcine	Metagenomic/Cecal
pig		cecal sample	Animal-associated	Livestock	Porcine	Metagenomic/Cecal
		cecal sow	Animal-associated	Livestock	Bovine	Metagenomic/Cecal
		cecal swine	Animal-associated	Livestock	Porcine	Metagenomic/Cecal
		cecal young chicken	Animal-associated	Livestock	Poultry	Metagenomic/Cecal
		cecal young turkey	Animal-associated	Livestock	Poultry	Metagenomic/Cecal
		cecaldairy cow	Animal-associated	Livestock	Bovine	Metagenomic/Cecal
porcine		cecalsow	Animal-associated	Livestock	Porcine	Metagenomic/Cecal
porcine		cecalswine	Animal-associated	Livestock	Porcine	Metagenomic/Cecal
mini-pig		cecum	Animal-associated	Livestock	Porcine	Metagenomic/Cecal
porcine	missing	cecum	Animal-associated	Livestock	Porcine	Metagenomic/Cecal
sus scrofa		cecum	Animal-associated	Livestock	Porcine	Metagenomic/Cecal
sus scrofa domesticus		cecum	Animal-associated	Livestock	Porcine	Metagenomic/Cecal
swine		cecum	Animal-associated	Livestock	Porcine	Metagenomic/Cecal
swine	meningitis	central nervous system	Animal-associated	Livestock	Porcine	Unknown
porcine	missing	cerebrospinal fluid	Animal-associated	Livestock	Porcine	Cerebrospinal Fluid
pig		cerivx	Animal-associated	Livestock	Porcine	Cervical/Vaginal
		charcuterie	Animal-associated	Livestock	Porcine	Meat/Organ
		chciken gizzards	Animal-associated	Livestock	Poultry	Meat/Organ
		cheese-sausage mixture	Animal-associated	Livestock	Porcine	Meat/Organ
sus scrofa domesticus	pneumonia	chest tissue	Animal-associated	Livestock	Porcine	Respiratory Samples
		chicharron with chili	Animal-associated	Livestock	Porcine	Meat/Organ
not provided	not provided	chick paper	Animal-associated	Livestock	Poultry	Breeding/Hospital Environment Sample
not applicable	not applicable	chicken	Animal-associated	Livestock	Poultry	Unknown
not collected		chicken	Animal-associated	Livestock	Poultry	Unknown
not provided	not provided	chicken	Animal-associated	Livestock	Poultry	Unknown
		chicken (split breasts)	Animal-associated	Livestock	Poultry	Unknown
not applicable	not applicable	chicken at slaugther	Animal-associated	Livestock	Poultry	Meat/Organ
not provided	not provided	chicken breast	Animal-associated	Livestock	Poultry	Meat/Organ
not provided	not provided	chicken breasts	Animal-associated	Livestock	Poultry	Meat/Organ
		chicken caecum	Animal-associated	Livestock	Poultry	Metagenomic/Cecal
missing	missing	chicken chicken breast	Animal-associated	Livestock	Poultry	Meat/Organ
not provided	not provided	chicken chicken breast	Animal-associated	Livestock	Poultry	Meat/Organ
		chicken chicken breast	Animal-associated	Livestock	Poultry	Meat/Organ
missing	missing	chicken chicken breasts	Animal-associated	Livestock	Poultry	Meat/Organ
missing	missing	chicken chicken gizzard	Animal-associated	Livestock	Poultry	Meat/Organ
not provided	not provided	chicken chicken gizzard	Animal-associated	Livestock	Poultry	Meat/Organ
		chicken chicken gizzard	Animal-associated	Livestock	Poultry	Meat/Organ
missing	missing	chicken chicken gizzards	Animal-associated	Livestock	Poultry	Meat/Organ
missing	missing	chicken chicken legs	Animal-associated	Livestock	Poultry	Meat/Organ
		chicken chicken legs	Animal-associated	Livestock	Poultry	Meat/Organ
		chicken chicken liver	Animal-associated	Livestock	Poultry	Meat/Organ
missing	missing	chicken chicken liver	Animal-associated	Livestock	Poultry	Meat/Organ
not provided	not provided	chicken chicken liver	Animal-associated	Livestock	Poultry	Meat/Organ
missing	missing	chicken chicken livers	Animal-associated	Livestock	Poultry	Meat/Organ
missing	missing	chicken chicken thigh	Animal-associated	Livestock	Poultry	Meat/Organ
		chicken chicken thigh	Animal-associated	Livestock	Poultry	Meat/Organ
missing	missing	chicken chicken thighs	Animal-associated	Livestock	Poultry	Meat/Organ
not provided	not provided	chicken chicken thighs	Animal-associated	Livestock	Poultry	Meat/Organ
		chicken chicken wing	Animal-associated	Livestock	Poultry	Meat/Organ
missing	missing	chicken chicken wings	Animal-associated	Livestock	Poultry	Meat/Organ
		chicken chicken wings	Animal-associated	Livestock	Poultry	Meat/Organ
		chicken ecal dropping	Animal-associated	Livestock	Poultry	Feces
missing	missing	chicken giblets	Animal-associated	Livestock	Poultry	Meat/Organ
		chicken gizards	Animal-associated	Livestock	Poultry	Meat/Organ
not provided	not provided	chicken gizzard	Animal-associated	Livestock	Poultry	Meat/Organ
unknown		chicken gizzard	Animal-associated	Livestock	Poultry	Meat/Organ
not provided	not provided	chicken gizzard (giblets)	Animal-associated	Livestock	Poultry	Meat/Organ
		chicken gizzard / heart (giblets: multiple types)	Animal-associated	Livestock	Poultry	Meat/Organ
		chicken gizzard and heart	Animal-associated	Livestock	Poultry	Meat/Organ
missing	missing	chicken gizzards	Animal-associated	Livestock	Poultry	Meat/Organ
not provided	not provided	chicken gizzards	Animal-associated	Livestock	Poultry	Meat/Organ
not provided	not provided	chicken heart	Animal-associated	Livestock	Poultry	Meat/Organ
unknown		chicken heart	Animal-associated	Livestock	Poultry	Meat/Organ
not provided	not provided	chicken heart (giblets)	Animal-associated	Livestock	Poultry	Meat/Organ
not provided	not provided	chicken hearts	Animal-associated	Livestock	Poultry	Meat/Organ
missing	missing	chicken leg	Animal-associated	Livestock	Poultry	Meat/Organ
		chicken leg skin	Animal-associated	Livestock	Poultry	Skin
not provided	not provided	chicken legs	Animal-associated	Livestock	Poultry	Meat/Organ
not provided	not provided	chicken liver	Animal-associated	Livestock	Poultry	Meat/Organ
unknown		chicken liver	Animal-associated	Livestock	Poultry	Meat/Organ
missing	missing	chicken liver (giblets)	Animal-associated	Livestock	Poultry	Meat/Organ
not provided	not provided	chicken liver (giblets)	Animal-associated	Livestock	Poultry	Meat/Organ
missing		chicken liver pate	Animal-associated	Livestock	Poultry	Meat/Organ
not provided	not provided	chicken livers	Animal-associated	Livestock	Poultry	Meat/Organ
		chicken livers (giblets)	Animal-associated	Livestock	Poultry	Meat/Organ
swine		chicken meat	Animal-associated	Livestock	Poultry	Meat/Organ
		chicken meat from retail market	Animal-associated	Livestock	Poultry	Meat/Organ
		chicken meat from supermarket	Animal-associated	Livestock	Poultry	Meat/Organ
		chicken meat rinse	Animal-associated	Livestock	Poultry	Meat/Organ
not applicable	not applicable	chicken meat sample	Animal-associated	Livestock	Poultry	Meat/Organ
		chicken neck cute	Animal-associated	Livestock	Poultry	Meat/Organ
		chicken offal or meat	Animal-associated	Livestock	Poultry	Meat/Organ
		chicken raw meat	Animal-associated	Livestock	Poultry	Meat/Organ
missing	missing	chicken rinse	Animal-associated	Livestock	Poultry	Meat/Organ
		chicken thigh and leg	Animal-associated	Livestock	Poultry	Meat/Organ
not provided	not provided	chicken thighs	Animal-associated	Livestock	Poultry	Meat/Organ
		chicken whole	Animal-associated	Livestock	Poultry	Meat/Organ
not provided	not provided	chicken wings	Animal-associated	Livestock	Poultry	Meat/Organ
		chieken wings	Animal-associated	Livestock	Poultry	Meat/Organ
		chiken fecal	Animal-associated	Livestock	Poultry	Feces
		chili pork meat	Animal-associated	Livestock	Porcine	Meat/Organ
pig		china	Animal-associated	Livestock	Porcine	Unknown
swine		china	Animal-associated	Livestock	Porcine	Unknown
healthy pig	health	china:shenzhen	Animal-associated	Livestock	Porcine	Unknown
		chinese sausage	Animal-associated	Livestock	Porcine	Meat/Organ
		chinese sausages	Animal-associated	Livestock	Porcine	Meat/Organ
		chipolata sausage	Animal-associated	Livestock	Porcine	Meat/Organ
		chorizo	Animal-associated	Livestock	Porcine	Meat/Organ
